Student Id,Number of Logins,Number of Content Reads,Interaction,Number of Forum Reads,Number of Forum Posts,Number of Quiz Reviews,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Assignment 1 duration to submit (in hours),Assignment 2 duration to submit (in hours),Assignment 3 duration to submit (in hours),Average Assignment duration to submit (in hours)
100,61,57,198,13,5,31,No,Yes,No,29,63,30,58
101,53,36,89,6,2,40,Yes,No,Yes,47,35,52,43
102,70,19,134,12,4,36,Yes,No,Yes,29,48,69,67
103,29,37,166,9,2,29,No,No,No,36,68,44,51
104,49,36,77,8,4,29,Yes,Yes,Yes,60,26,44,72
105,55,35,160,7,2,18,No,Yes,Yes,62,45,49,56
106,30,51,121,19,3,24,No,No,No,68,58,56,41
107,33,35,76,7,9,40,Yes,Yes,No,44,41,65,63
108,57,25,174,7,3,33,Yes,Yes,No,60,48,66,48
109,41,52,66,6,5,11,No,No,Yes,44,58,40,52
110,49,15,52,6,0,31,Yes,No,Yes,63,57,25,63
111,65,33,140,17,7,17,No,No,Yes,47,26,47,72
112,64,18,198,5,1,21,Yes,Yes,No,58,53,51,71
113,68,50,127,18,10,23,Yes,Yes,Yes,30,25,47,60
114,46,32,91,8,2,11,No,No,Yes,24,33,24,41
115,65,46,110,17,0,30,No,No,No,27,38,26,49
116,51,51,101,18,1,15,No,Yes,No,56,70,43,64
117,42,57,115,20,3,37,No,No,No,38,39,31,37
118,58,40,182,14,4,25,Yes,Yes,Yes,33,71,51,37
119,23,49,108,14,2,11,Yes,No,Yes,46,30,63,43
120,29,46,86,15,6,37,Yes,Yes,Yes,35,67,48,66
121,44,55,151,9,0,22,Yes,No,No,37,32,36,72
122,57,46,175,20,10,12,No,No,No,45,56,71,70
123,57,51,197,13,8,38,Yes,No,No,66,30,27,52
124,50,23,177,11,7,25,No,No,Yes,32,37,65,64
125,32,53,187,14,5,24,No,No,No,54,72,45,59
126,52,48,172,14,0,15,Yes,No,No,32,54,36,59
127,29,41,149,10,7,29,No,Yes,No,33,63,70,72
128,55,50,108,15,8,40,Yes,No,Yes,44,50,28,59
129,56,54,193,17,2,20,Yes,No,No,71,43,46,37
130,46,28,180,20,0,34,No,No,Yes,58,70,68,61
131,58,30,170,18,8,37,Yes,No,Yes,34,32,46,53
132,55,56,87,5,0,22,Yes,Yes,No,68,50,35,47
133,33,56,83,17,1,26,Yes,Yes,Yes,53,28,34,43
134,45,21,128,14,7,27,Yes,Yes,Yes,40,43,36,38
135,54,40,184,6,5,17,No,Yes,No,63,24,48,38
136,65,33,188,5,1,30,Yes,Yes,Yes,43,56,54,62
137,22,30,119,18,0,20,No,No,Yes,71,67,60,65
138,50,25,179,13,7,26,Yes,Yes,No,51,63,59,65
139,70,45,152,6,4,15,Yes,No,Yes,24,28,71,72
140,38,54,179,5,3,40,Yes,Yes,No,50,68,27,68
141,53,53,166,9,0,18,No,Yes,No,55,70,43,59
142,27,45,100,19,3,21,No,No,No,60,63,50,44
143,30,15,197,8,0,23,Yes,Yes,Yes,44,30,48,61
144,59,44,107,12,0,33,No,No,No,72,35,40,36
145,63,27,116,7,0,17,Yes,Yes,Yes,42,40,24,40
146,57,53,122,18,5,14,No,Yes,No,66,43,35,69
147,55,51,57,5,7,30,No,No,No,66,38,54,55
148,41,20,151,15,5,32,No,No,No,40,34,71,58
149,45,47,173,12,4,24,No,No,Yes,47,51,43,39
150,70,43,148,14,0,16,No,Yes,Yes,72,52,38,38
151,43,58,79,16,8,23,No,No,Yes,51,49,37,45
152,69,54,159,20,6,16,Yes,Yes,Yes,53,69,66,63
153,32,51,88,11,3,20,Yes,Yes,Yes,31,25,53,41
154,60,30,190,15,9,39,Yes,No,No,68,44,63,70
155,56,26,143,13,7,34,No,No,Yes,62,69,64,64
156,21,48,162,10,3,38,Yes,Yes,No,59,62,33,43
157,47,56,178,16,0,20,No,Yes,No,37,55,45,37
158,21,46,73,12,9,11,No,No,No,51,69,33,72
159,24,51,172,16,7,17,Yes,No,Yes,57,63,54,65
160,35,36,113,17,4,20,No,Yes,No,43,43,49,48
161,29,42,81,12,1,34,Yes,Yes,No,30,33,38,71
162,20,43,74,10,1,36,No,No,Yes,32,64,67,38
163,32,30,142,18,7,12,No,Yes,No,68,55,66,59
164,62,39,112,18,6,35,No,Yes,Yes,35,66,56,71
165,39,35,181,19,7,23,No,Yes,No,43,44,62,61
166,43,34,88,19,3,29,Yes,No,No,58,72,44,57
167,34,22,60,17,9,35,Yes,Yes,No,43,68,27,60
168,55,33,165,7,5,34,No,Yes,Yes,29,65,26,68
169,21,37,140,9,1,38,No,No,Yes,46,67,30,43
170,26,36,189,6,9,16,Yes,Yes,Yes,37,53,37,60
171,60,21,164,9,2,38,No,Yes,No,63,70,72,52
172,65,38,89,16,2,19,Yes,Yes,Yes,37,48,72,43
173,47,40,61,8,5,18,Yes,Yes,No,65,65,30,69
174,38,56,106,10,7,34,No,Yes,No,37,38,49,43
175,23,49,129,5,3,34,No,Yes,No,41,68,71,42
176,67,40,105,18,3,34,No,Yes,No,65,38,55,51
177,37,50,137,7,10,33,Yes,No,Yes,46,70,37,46
178,36,29,108,9,2,24,No,No,No,36,70,49,67
179,52,39,138,5,7,15,Yes,No,No,31,44,57,71
180,50,39,129,17,6,25,No,Yes,Yes,56,28,62,70
181,67,43,191,17,1,38,No,Yes,Yes,39,33,30,54
182,41,52,159,11,3,34,No,Yes,No,57,58,52,45
183,66,42,83,16,7,29,No,No,No,38,58,46,39
184,44,38,197,7,0,31,Yes,No,Yes,27,51,28,65
185,25,54,147,19,9,15,Yes,No,No,36,64,26,66
186,69,17,62,7,3,11,No,Yes,No,52,37,68,50
187,26,45,124,11,10,24,Yes,Yes,Yes,62,56,48,41
188,37,24,55,7,8,12,Yes,No,No,38,43,32,56
189,39,32,168,13,4,11,Yes,Yes,No,42,44,25,57
190,69,30,167,11,7,19,Yes,Yes,No,24,31,29,38
191,55,49,76,7,8,17,No,No,No,43,72,38,66
192,22,39,166,17,5,30,Yes,No,Yes,52,30,25,37
193,46,53,192,14,0,40,No,No,Yes,31,58,26,51
194,63,27,159,7,1,40,No,No,Yes,48,31,32,53
195,25,31,166,9,6,11,No,No,No,36,30,37,48
196,33,36,125,9,6,16,No,Yes,Yes,50,64,35,66
197,30,42,53,9,6,13,Yes,No,Yes,53,34,57,52
198,26,58,93,17,10,39,No,No,No,32,70,59,61
199,46,40,120,9,10,21,Yes,No,No,39,34,30,68
200,50,43,54,17,10,35,Yes,Yes,Yes,47,45,72,66
201,27,16,80,11,5,24,Yes,Yes,Yes,33,71,36,59
202,48,42,81,8,3,34,Yes,No,No,57,54,60,42
203,64,29,94,8,9,13,Yes,No,No,46,49,28,41
204,66,35,69,19,7,23,Yes,Yes,No,51,50,34,49
205,30,56,133,15,0,27,Yes,No,No,47,28,51,37
206,23,45,200,16,10,14,Yes,Yes,Yes,43,33,28,63
207,69,44,61,7,10,39,Yes,Yes,Yes,40,47,35,55
208,26,25,88,5,5,18,Yes,No,No,63,34,30,54
209,44,20,66,18,3,10,No,No,Yes,64,67,37,59
210,44,16,155,5,5,35,Yes,No,Yes,64,67,44,62
211,67,57,191,13,4,27,No,Yes,Yes,29,68,56,43
212,26,22,162,15,8,26,No,Yes,Yes,70,60,28,61
213,58,26,189,9,5,26,Yes,Yes,Yes,30,69,59,67
214,39,46,93,8,3,22,Yes,Yes,Yes,30,49,63,61
215,50,39,166,19,3,31,No,Yes,No,36,41,49,66
216,49,37,60,11,1,37,Yes,No,Yes,62,27,34,46
217,56,53,189,8,10,31,Yes,Yes,Yes,66,36,38,60
218,54,32,123,15,2,28,No,Yes,Yes,28,54,67,70
219,60,45,120,15,9,35,No,Yes,Yes,56,53,41,48
220,47,36,143,11,10,36,Yes,No,Yes,51,49,44,72
221,40,58,171,15,10,40,Yes,Yes,Yes,54,54,30,47
222,38,21,105,9,4,17,Yes,Yes,No,25,31,47,38
223,46,53,55,6,2,20,Yes,Yes,Yes,42,42,39,65
224,66,27,189,5,3,32,Yes,Yes,Yes,54,49,31,70
225,38,47,55,11,8,25,No,Yes,No,43,45,25,64
226,26,51,173,7,10,20,Yes,Yes,No,24,53,36,58
227,35,23,66,20,2,14,Yes,No,Yes,64,66,68,38
228,65,49,176,11,5,10,No,Yes,No,66,67,39,71
229,31,52,182,9,1,10,No,Yes,Yes,68,45,64,60
230,23,46,174,13,3,17,Yes,Yes,No,69,55,71,72
231,60,53,59,18,10,17,Yes,No,Yes,57,34,64,44
232,40,42,69,13,9,10,Yes,No,Yes,71,47,36,58
233,24,52,72,14,7,29,No,Yes,Yes,62,28,39,65
234,69,52,119,15,0,19,Yes,Yes,No,51,40,72,48
235,48,31,64,10,2,12,Yes,No,Yes,54,67,52,49
236,26,39,148,14,3,10,Yes,Yes,No,71,71,57,58
237,35,30,51,11,3,19,Yes,No,No,52,70,45,55
238,27,18,91,15,5,11,Yes,Yes,No,55,30,39,62
239,62,57,103,7,4,38,Yes,No,Yes,55,31,65,44
240,67,43,67,7,8,12,Yes,Yes,Yes,54,71,26,54
241,51,22,142,9,9,22,No,Yes,No,60,53,60,65
242,25,30,165,19,9,15,No,Yes,Yes,53,68,28,50
243,34,36,194,6,1,14,Yes,Yes,Yes,38,72,41,65
244,41,42,105,14,6,23,Yes,No,No,68,54,62,36
245,69,35,134,13,10,15,Yes,Yes,Yes,47,30,71,45
246,52,27,113,8,2,19,No,Yes,No,38,70,28,59
247,42,16,196,5,10,16,Yes,No,No,56,41,65,64
248,39,37,160,11,6,18,No,Yes,No,53,58,26,45
249,33,17,58,7,9,30,Yes,No,Yes,53,61,69,53
250,43,49,59,19,6,20,No,Yes,No,70,54,24,65
251,35,49,154,11,1,35,Yes,Yes,Yes,49,27,49,50
252,24,50,80,16,4,15,Yes,No,Yes,26,45,58,56
253,60,55,84,13,8,18,No,Yes,Yes,28,65,62,52
254,61,18,172,10,3,28,No,Yes,No,72,28,49,60
255,46,16,157,13,3,38,No,No,No,52,37,54,56
256,64,30,144,10,10,11,Yes,Yes,No,53,33,72,63
257,39,21,190,19,5,23,Yes,Yes,Yes,41,24,56,49
258,70,49,76,12,2,24,No,No,Yes,28,26,60,55
259,64,35,149,20,1,24,No,Yes,Yes,35,54,47,64
260,34,34,158,10,2,31,No,No,Yes,63,26,24,44
261,58,33,128,8,7,35,Yes,No,Yes,33,61,68,36
262,62,49,175,20,3,29,Yes,No,No,35,69,46,39
263,43,17,97,5,0,27,No,No,Yes,66,60,62,43
264,33,58,132,11,7,32,No,Yes,No,41,60,53,55
265,25,23,60,12,3,26,Yes,No,Yes,71,59,24,62
266,66,48,154,17,2,30,Yes,Yes,Yes,30,67,52,62
267,30,36,175,5,1,17,No,Yes,No,47,69,31,51
268,54,35,52,11,1,16,No,Yes,No,69,35,58,45
269,54,32,93,10,0,40,No,No,No,48,24,34,37
270,39,30,76,10,0,17,Yes,Yes,No,55,69,31,69
271,61,46,191,11,7,21,Yes,No,Yes,37,60,44,45
272,44,34,71,9,7,14,No,Yes,No,53,33,43,70
273,63,20,143,13,6,38,Yes,Yes,Yes,27,63,70,61
274,23,60,97,15,8,34,Yes,No,No,32,56,55,72
275,21,49,181,10,2,36,Yes,Yes,No,55,62,68,58
276,70,42,187,15,3,16,Yes,Yes,No,27,67,33,38
277,39,24,147,14,2,24,Yes,No,No,58,69,30,56
278,55,15,148,14,6,35,Yes,Yes,Yes,36,43,63,60
279,53,49,70,5,6,37,Yes,No,No,36,46,44,44
280,65,16,145,5,9,28,No,Yes,No,47,59,49,44
281,44,40,100,9,2,35,No,No,Yes,38,33,64,41
282,54,31,114,19,5,26,Yes,Yes,Yes,25,65,39,52
283,47,29,71,11,6,35,Yes,Yes,No,54,45,39,71
284,64,43,200,16,7,27,No,Yes,Yes,72,45,24,62
285,46,22,109,11,6,28,No,Yes,Yes,43,61,29,72
286,41,19,169,14,9,29,No,Yes,Yes,61,52,56,47
287,45,16,188,15,10,29,Yes,Yes,No,56,25,49,67
288,58,24,191,13,6,28,No,Yes,Yes,45,29,59,38
289,51,34,82,6,10,32,Yes,Yes,No,69,64,32,40
290,26,25,70,14,2,29,No,Yes,No,40,32,37,70
291,49,38,147,10,8,30,Yes,No,No,44,62,57,56
292,35,26,86,15,9,28,Yes,No,Yes,49,31,33,41
293,23,42,57,20,5,24,Yes,No,Yes,34,46,69,49
294,48,36,98,14,10,21,Yes,No,No,60,38,37,51
295,34,19,157,5,0,23,No,Yes,Yes,49,46,25,62
296,61,36,191,11,7,20,Yes,Yes,Yes,47,50,42,59
297,37,23,147,5,2,16,No,No,Yes,58,37,57,64
298,58,48,122,7,7,23,Yes,No,Yes,48,65,61,36
299,36,29,179,15,9,38,Yes,Yes,No,43,29,31,42
300,34,15,188,6,4,14,Yes,Yes,Yes,50,28,30,52
301,53,19,172,11,2,25,Yes,Yes,No,65,36,31,65
302,59,45,190,7,6,18,Yes,No,Yes,39,64,60,69
303,54,35,138,19,1,25,No,Yes,No,35,50,50,37
304,24,45,141,14,10,18,No,Yes,Yes,41,33,42,60
305,49,55,154,14,10,31,No,Yes,Yes,25,41,28,44
306,48,60,97,12,8,26,Yes,No,No,55,50,57,71
307,60,57,91,10,3,37,No,Yes,No,26,72,43,53
308,35,16,180,20,6,19,Yes,Yes,Yes,60,58,30,41
309,68,26,95,15,9,16,No,Yes,Yes,47,35,42,63
310,44,52,167,8,8,35,No,Yes,Yes,29,41,40,62
311,33,21,174,9,9,13,Yes,No,No,68,27,55,67
312,53,32,125,10,9,36,Yes,Yes,No,40,58,38,38
313,27,57,77,17,5,17,No,Yes,Yes,57,69,61,49
314,38,37,195,5,5,31,Yes,Yes,No,36,45,52,70
315,49,50,93,17,5,22,Yes,No,Yes,34,48,62,42
316,52,52,67,9,2,29,No,Yes,No,27,64,49,61
317,65,55,114,10,7,29,Yes,Yes,No,43,60,31,57
318,63,56,187,5,0,35,Yes,Yes,No,67,67,25,50
319,59,29,82,8,7,20,Yes,Yes,Yes,55,38,51,37
320,70,39,154,7,9,17,Yes,No,No,40,48,46,71
321,45,24,137,20,1,18,Yes,No,Yes,48,53,24,52
322,51,33,102,9,6,25,No,No,Yes,34,28,57,58
323,41,50,164,15,0,11,Yes,No,No,66,50,54,50
324,56,31,98,8,1,14,Yes,No,No,36,60,66,72
325,36,45,136,19,5,12,No,Yes,Yes,61,32,67,37
326,58,57,70,9,9,28,Yes,No,Yes,55,42,25,54
327,57,56,164,13,10,30,Yes,Yes,Yes,65,63,67,53
328,40,31,57,6,5,26,Yes,No,No,31,49,46,48
329,61,41,65,15,10,37,Yes,No,No,46,25,32,46
330,54,41,146,18,9,21,Yes,No,Yes,40,53,29,53
331,36,36,178,18,0,39,Yes,No,No,41,50,30,45
332,55,60,166,15,2,28,Yes,Yes,No,68,55,40,55
333,21,32,97,19,9,38,Yes,Yes,No,26,65,44,37
334,57,25,123,10,3,26,Yes,Yes,No,48,37,61,49
335,68,52,200,16,3,12,No,No,Yes,51,72,49,56
336,26,44,79,11,9,23,No,Yes,No,50,61,53,52
337,69,50,144,17,0,40,Yes,Yes,No,71,60,38,63
338,41,19,156,14,8,33,Yes,No,Yes,72,46,36,50
339,35,43,180,15,5,18,No,No,Yes,67,69,72,46
340,47,45,61,19,2,39,No,Yes,Yes,45,65,54,64
341,65,48,59,7,1,26,No,No,No,69,60,58,70
342,45,37,150,18,9,16,No,Yes,No,25,34,53,57
343,50,45,170,8,0,23,Yes,Yes,No,35,31,39,65
344,31,20,173,15,6,23,Yes,Yes,Yes,61,53,37,38
345,40,60,190,5,4,32,No,Yes,No,68,24,34,62
346,43,29,200,5,1,26,No,No,Yes,34,30,25,60
347,24,37,177,10,3,40,No,No,Yes,26,67,64,47
348,50,23,57,20,6,38,No,Yes,No,49,55,27,71
349,38,36,53,12,8,13,No,Yes,Yes,47,33,57,44
350,46,23,153,9,8,40,Yes,No,No,24,66,32,38
351,31,48,176,7,6,25,Yes,Yes,No,39,53,28,54
352,50,15,87,14,3,39,No,No,No,45,60,33,42
353,51,20,140,15,10,24,Yes,Yes,No,57,67,25,38
354,41,23,103,19,10,24,Yes,No,No,64,49,55,61
355,52,32,168,18,5,24,Yes,Yes,Yes,66,28,59,39
356,63,23,51,11,10,12,No,No,Yes,26,66,31,36
357,31,48,87,7,10,24,No,No,Yes,67,25,52,45
358,48,52,139,8,6,30,No,Yes,No,48,51,46,65
359,68,35,171,10,0,22,No,Yes,Yes,68,70,32,50
360,30,31,109,6,3,36,No,No,Yes,40,62,61,36
361,31,53,153,5,6,14,No,No,Yes,40,46,34,60
362,61,21,136,11,1,29,No,Yes,No,28,28,38,41
363,33,54,172,11,9,24,No,No,No,26,37,42,57
364,31,16,147,6,9,19,Yes,No,No,60,40,58,56
